_link,id,tag,date,ocid,initiationType,award_date,buyer_id,buyer_name,tender_id,tender_datePublished,tender_title,tender_procurementMethod,tender_process,tender_mainProcurementCategory,tender_numberOfTenderers,tender_externalReference,tender_allowPreferentialBidder,tender_description,tender_contractType,tender_allowTwoStageBid,tender_value_amount,tender_bidOpening_address_streetAddress,tender_evaluation_generalTechnicalEvaluationAllowed,tender_evaluation_itemWiseTechnicalEvaluationAllowed,tender_awardPeriod_startDate,tender_tenderPeriod_endDate,tender_tenderPeriod_startDate,tender_tenderPeriod_durationInDays,tender_contractPeriod_durationInDays,tender_procuringEntity_id,tender_procuringEntity_name,tender_ documentAvailabilityPeriod_endDate,tender_ documentAvailabilityPeriod_startDate,tender_enquiryPeriod_endDate,tender_enquiryPeriod_startDate,tender_classification_id,tender_classification_scheme,tender_classification_description,tender_value_currency
0.10,ocds-kjhdrl-2016_PWD_13040_1-2020-08-25T11:00:00Z,compiled,2020-08-25T11:00:00Z,ocds-kjhdrl-2016_PWD_13040_1,tender,2019-04-06T00:00:00Z,PWD_2000,PWD,2016_PWD_13040_1,2016-09-19T17:00:00Z,Ordinary repair of Shimla Kangra road on NH 88 New NH 205 from Kms 0.0 to 58.600 SH Periodical renewal in Kms 0.590 to 0.900 and 4.0 to 6.0,limited,Tender,works,3,NH88-2,No,Ordinary repair of Shimla Kangra road on NH 88 New NH 205 from Kms 0.0 to 58.600 SH Periodical renewal in Kms 0.590 to 0.900 and 4.0 to 6.0,itemRate,No,4493870,NH Division Solan,No,No,2016-09-28T11:15:00Z,2016-09-28T11:00:00Z,2016-09-19T17:10:00Z,120,90,PWD_2000,"Executive Engineer NH Division HP.PWD., Solan",2016-09-28T11:00:00Z,2016-09-19T17:05:00Z,,,,,,
0.11,ocds-kjhdrl-2016_PWD_11762_1-2020-08-25T11:00:00Z,compiled,2020-08-25T11:00:00Z,ocds-kjhdrl-2016_PWD_11762_1,tender,2019-05-02T00:00:00Z,PWD_2000,PWD,2016_PWD_11762_1,2016-05-07T13:20:00Z,C/O of Science Laboratory in Government Sr. Secondary School (Boys) at Arki Tehsil Arki Distt. Solan.,limited,Tender,works,4,PW/AD/Tender/2015-16-390-96,No,Construction of Science Laboratory in Government Sr. Secondary School Boys at Arki Tehsil Arki Distt. Solan. (Sub Head Civil works including water supply and sanitary installation etc.),itemRate,No,5117418,Arki,No,No,2016-05-23T11:30:00Z,2016-05-20T18:00:00Z,2016-05-07T13:20:00Z,90,365,PWD_2000,Executive Engineer,2016-05-20T18:00:00Z,2016-05-07T13:20:00Z,2016-05-20T18:00:00Z,2016-05-07T13:20:00Z,,,,
0.12,ocds-kjhdrl-2016_PWD_13905_2-2020-08-25T11:00:00Z,compiled,2020-08-25T11:00:00Z,ocds-kjhdrl-2016_PWD_13905_2,tender,2019-04-09T00:00:00Z,PWD_2000,PWD,2016_PWD_13905_2,2016-12-12T15:00:00Z,Ordinary repair to NH 72B (New NH 07) on Paonta Sahib Meenus Hatkoti Road km 0/0 to 161/715,limited,Tender,works,9,NH_Nahan1645-85,No,C/o PCC retaining wall from RD 26/025 to 26/070 ) Against OFC deposit,itemRate,No,2092227,EE NH Nahan,No,No,2017-01-04T11:00:00Z,2017-01-04T10:00:00Z,2016-12-12T15:30:00Z,120,180,PWD_2000,Executive Engineer,2017-01-04T10:00:00Z,2016-12-12T15:30:00Z,,,,,,
0.13,ocds-kjhdrl-2017_FDC_15175_1-2020-08-25T11:00:00Z,compiled,2020-08-25T11:00:00Z,ocds-kjhdrl-2017_FDC_15175_1,tender,2018-08-31T00:00:00Z,FDC_2000,"HP State Forest Development Corporation||Director North ,FDC,HP||DM,Sundernagar,Director North,FDC,HP",2017_FDC_15175_1,2017-03-02T18:00:00Z,1/2017-18 Suket,limited,Tender,works,3,"fellling,conversion,carriage RSD and TT upto HSD",No,Felling conversion carriage RSD and TT upto HSD,itemRate,No,1579029,Sundernagar,No,No,2017-03-08T14:30:00Z,2017-03-08T14:00:00Z,2017-03-02T18:35:00Z,45,,FDC_2000,DM Sundernagar,2017-03-08T14:00:00Z,2017-03-02T18:30:00Z,,,,,,
0.14,ocds-kjhdrl-2017_HAFMS_16500_1-2020-08-25T11:00:00Z,compiled,2020-08-25T11:00:00Z,ocds-kjhdrl-2017_HAFMS_16500_1,tender,2018-04-27T00:00:00Z,HAFMS_2000,HP Aquaculture Fisheries and Marketing Society||Chief Executive Officer-HAFMS||Deputy Director Fisheries-HQ-HAFMS||Project Engineer-HAFMS,2017_HAFMS_16500_1,2017-05-25T11:00:00Z,Construction of Angling Hut 2 Storied Building at Bharmour Chamba HP,limited,Tender,works,3,HPAFMS_1678_1,No,Construction of Angling Hut 2 Storied Building at Bharmour Chamba HP,itemRate,No,6336995,Directorate of Fisheries Bilaspur HP,No,No,2017-06-13T11:30:00Z,2017-06-13T11:00:00Z,2017-05-25T11:30:00Z,120,120,HAFMS_2000,"Chief Executive Officer, HP AFMS, Bilaspur HP",2017-06-13T11:00:00Z,2017-05-25T11:30:00Z,,,,,,INR
0.15,ocds-kjhdrl-2017_BBNDA_18013_1-2020-08-25T11:00:00Z,compiled,2020-08-25T11:00:00Z,ocds-kjhdrl-2017_BBNDA_18013_1,tender,2018-06-14T00:00:00Z,BBNDA_2000,Baddi Barotiwala Nalagarh Development Authority||Director Industries to the Govt. of H.P.Shimla||CEO BBNDA at Baddi Distt.Solan (H.P.)||Executive Engineer (Project Division) BBNDA,2017_BBNDA_18013_1,2017-09-07T12:00:00Z,"Beautification along the Suncity road Baddi, Distt.Solan (SH- C/o Green park AND protection wall and rest room)",limited,Tender,works,7,BBNDA-06(PROJECT)NIT 2017-18/-5930-38 DT 31-08-17,No,"Beautification along the Suncity road Baddi, Distt.Solan (SH- C/o Green parK AND protection wall and rest room)",itemRate,No,15408767,BBNDA BADDI,No,No,2017-09-20T11:00:00Z,2017-09-16T17:00:00Z,2017-09-07T12:40:00Z,90,180,BBNDA_2000,EE BBNDA BADDI,2017-09-16T17:00:00Z,2017-09-07T12:15:00Z,2017-09-16T16:50:00Z,2017-09-07T12:30:00Z,,,,
0.16,ocds-kjhdrl-2017_HIMUD_17871_3-2020-08-25T11:00:00Z,compiled,2020-08-25T11:00:00Z,ocds-kjhdrl-2017_HIMUD_17871_3,tender,2018-07-17T00:00:00Z,HIMUD_2000,"Himachal Urban Development Authority||Supdt. Engineer (S),HIMUDA",2017_HIMUD_17871_3,2017-09-04T10:30:00Z,"Residential Complex below BCS, Ph-III Part I, Sector-V New Shimla",limited,Tender,works,3,HIMUDA SD A30 Tender dated 28.08.2017,No,"Cons. Of 8 Nos.1 BHK flats Block No.16A including internal WS and SI, dev. of site and Rain Water Harvesting Tank",itemRate,No,8815260,SHIMLA,No,No,2017-09-12T14:00:00Z,2017-09-11T16:00:00Z,2017-09-04T11:00:00Z,120,273,HIMUD_2000,EE HIMUDA DIV SHIMLA,2017-09-11T16:00:00Z,2017-09-04T11:00:00Z,,,,,,
0.17,ocds-kjhdrl-2017_HIMUD_18038_1-2020-08-25T11:00:00Z,compiled,2020-08-25T11:00:00Z,ocds-kjhdrl-2017_HIMUD_18038_1,tender,2018-07-17T00:00:00Z,HIMUD_2000,"Himachal Urban Development Authority||Supdt. Engineer (S),HIMUDA",2017_HIMUD_18038_1,2017-09-08T12:30:00Z,"HIMUDA Apartment Kasumpti, Shimla-9",limited,Tender,works,3,HBS-SD-A 30/Tebder 07.08.2017,No,"C/o 42 Nos. basement flats including Internal WS and SI excluding RCC Structure i.e. Block No. 2,3,4,5,6,7,8,9,10,12,12-A 14,15,16,17,18 25,26 and 30",itemRate,No,22791439,SHIMLA,No,No,2017-09-22T14:00:00Z,2017-09-21T16:00:00Z,2017-09-08T12:30:00Z,120,273,HIMUD_2000,EE HIMUDA DIV SHIMLA,2017-09-21T16:00:00Z,2017-09-08T12:30:00Z,,,,,,
0.18,ocds-kjhdrl-2017_HO_15977_1-2020-08-25T11:00:00Z,compiled,2020-08-25T11:00:00Z,ocds-kjhdrl-2017_HO_15977_1,tender,2018-07-24T00:00:00Z,HO_2000,HP State Civil Supplies Corporation Limited,2017_HO_15977_1,2017-04-22T14:00:00Z,Procurement of Pulses,limited,Tender,goods,5,Pro-4-2/2016(V)-1303 DATED 22-04-17,No,Procurement of Pulses,itemRate,No,0,HEAD OFFICE,No,Yes,2017-05-06T11:00:00Z,2017-05-05T17:00:00Z,2017-04-22T14:00:00Z,90,25,HO_2000,MD HPSCSC LTD.,2017-05-05T17:00:00Z,2017-04-22T14:00:00Z,,,,,,
0.19,ocds-kjhdrl-2017_HPAMB_15888_1-2020-08-25T11:00:00Z,compiled,2020-08-25T11:00:00Z,ocds-kjhdrl-2017_HPAMB_15888_1,tender,2018-06-25T00:00:00Z,HPAMB_2000,HP Agriculture Marketing Board,2017_HPAMB_15888_1,2017-04-18T18:00:00Z,"CO R.M. Yard at Una, Distt. Una, H.P. SH CO VIP Suit at open terrace.",limited,Tender,works,3,HMB-EC-Tender-11/92,No,"CO R.M. Yard at Una, Distt. Una, H.P. SH CO VIP Suit at open terrace.",itemRate,No,673638,EE HPSAMB Shimla,No,No,2017-05-09T11:30:00Z,2017-05-08T18:00:00Z,2017-04-18T18:00:00Z,120,60,HPAMB_2000,EE HPSAMB Shimla,2017-05-08T18:00:00Z,2017-04-18T18:00:00Z,,,,,,
0.20,ocds-kjhdrl-2017_HPIPH_14541_1-2020-08-25T11:00:00Z,compiled,2020-08-25T11:00:00Z,ocds-kjhdrl-2017_HPIPH_14541_1,tender,2018-05-07T00:00:00Z,HPIPH_2000,"HP Irrigation and Public Health||S Nagar Circle,Irrigation and Public Health,HP||Baggi,Irrigation and Public Health,HP",2017_HPIPH_14541_1,2017-01-28T18:00:00Z,Providing LWSS to PC habitation of CV Dhaban and Tanda in GP Dhaban and Lohara Tehsil Balh Distt Mandi,limited,Tender,works,2,17117-66 DATED 24/01/2017,No,SH C O 125 mtr deep tube well,itemRate,No,1147277,Baggi,No,No,2017-02-18T11:30:00Z,2017-02-17T17:00:00Z,2017-01-29T10:00:00Z,90,90,HPIPH_2000,Executive Engineer,2017-02-17T17:00:00Z,2017-01-29T10:00:00Z,,,3.3,SDGTarget,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases",
0.21,ocds-kjhdrl-2017_HPAMB_15674_1-2020-08-25T11:00:00Z,compiled,2020-08-25T11:00:00Z,ocds-kjhdrl-2017_HPAMB_15674_1,tender,2018-05-30T00:00:00Z,HPAMB_2000,HP Agriculture Marketing Board,2017_HPAMB_15674_1,2017-04-03T18:00:00Z,"Additional and Alteration of the Rest House portion at R.M. Sub Yard at Nerwa, Distt. Shimla, H.P.",limited,Tender,works,4,HMB-EC-Tender-11/92,No,"Additional and Alteration of the Rest House portion at R.M. Sub Yard at Nerwa, Distt. Shimla, H.P.",itemRate,No,331346,EE HPSAMB Shimla,No,No,2017-04-27T11:30:00Z,2017-04-26T18:00:00Z,2017-04-03T18:00:00Z,120,60,HPAMB_2000,EE HPSAMB Shimla,2017-04-26T18:00:00Z,2017-04-03T18:00:00Z,,,,,,
0.22,ocds-kjhdrl-2017_HPIPH_15553_1-2020-08-25T11:00:00Z,compiled,2020-08-25T11:00:00Z,ocds-kjhdrl-2017_HPIPH_15553_1,tender,2018-04-25T00:00:00Z,HPIPH_2000,"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Hamirpur,Irrigation and Public Health,HP",2017_HPIPH_15553_1,2017-03-27T15:00:00Z,Construction of 7 Nos 6 Nos Tubewell Banyala Joghon Baruna Raipur Souri Gujjran Jhajhra Ambwala (Khowala) in Nalagarh Area in Tehsil Nalagarh Distt. Solan (HP),limited,Tender,works,3,24091-24102 dated 27-03-2017,No,"Sub Head Drilling, lowering of assembly and development of 5 Nos. Tubewells at village Banyala, Baruna Raipur, Souri Gujjran, Jhajhra and Ambwala(Khowala) 125 mtrs. depth each and 1 No. Tubewell at village Joghon 150 mtrs. depth each)",itemRate,No,8282775,IPH Division Nalagarh,No,No,2017-04-20T11:30:00Z,2017-04-20T11:00:00Z,2017-03-27T15:00:00Z,120,180,HPIPH_2000,Executive Engineer,2017-04-20T11:00:00Z,2017-03-27T15:00:00Z,,,6.4,SDGTarget,"By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity",
0.23,ocds-kjhdrl-2017_HPIPH_15980_1-2020-08-25T11:00:00Z,compiled,2020-08-25T11:00:00Z,ocds-kjhdrl-2017_HPIPH_15980_1,tender,2019-06-13T00:00:00Z,HPIPH_2000,"HP Irrigation and Public Health||Kullu Circle,Irrigation and Public Health,HP||Kullu -1,Irrigation and Public Health,HP",2017_HPIPH_15980_1,2017-04-22T18:00:00Z,Up gradation of existing Sewage treatment plant Kullu Town SH Providing coverage to sludge drying bed with transparent polycarboe multiwall sheet for STP Lanka Bekar,limited,Tender,works,3,1328_1427,No,Up gradation of existing Sewage treatment plant Kullu Town SH Providing coverage to sludge drying bed with transparent polycarboe multiwall sheet for STP Lanka Bekar,itemRate,No,2140128,EE IPH Division No. I Kullu,No,No,2017-05-16T11:30:00Z,2017-05-15T17:00:00Z,2017-04-22T18:00:00Z,120,180,HPIPH_2000,Er Keshav Ram Kulvi,2017-05-15T17:00:00Z,2017-04-22T18:00:00Z,,,3.3,SDGTarget,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases",
0.24,ocds-kjhdrl-2017_HPIPH_16567_1-2020-08-25T11:00:00Z,compiled,2020-08-25T11:00:00Z,ocds-kjhdrl-2017_HPIPH_16567_1,tender,2018-04-25T00:00:00Z,HPIPH_2000,"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Hamirpur,Irrigation and Public Health,HP",2017_HPIPH_16567_1,2017-05-27T10:00:00Z,Construction of over head storage reservoir for village Konwali in GP Joghon Tehsil Nalagarh Distt Solan HP,limited,Tender,works,2,1735-50 dated 26-05-2017,No,Sub Head Construction of over head storage tank reservoir 90000 liters capacity with 15 mtrs staging height at node No 1,lumpSum,No,1282500,Nalagarh,No,No,2017-06-20T11:30:00Z,2017-06-20T11:00:00Z,2017-05-27T10:00:00Z,120,180,HPIPH_2000,Executive Engineer,2017-06-20T11:00:00Z,2017-05-27T10:00:00Z,,,3.3,SDGTarget,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases",
0.25,ocds-kjhdrl-2017_HPIPH_16597_1-2020-08-25T11:00:00Z,compiled,2020-08-25T11:00:00Z,ocds-kjhdrl-2017_HPIPH_16597_1,tender,2018-05-31T00:00:00Z,HPIPH_2000,"HP Irrigation and Public Health||Rekongpeo Circle,Irrigation and Public Health,HP",2017_HPIPH_16597_1,2017-05-30T16:00:00Z,Providing Sewerage System to Rohru Town in Tehsil Rohru Distt Shimla HP,limited,Tender,works,3,IPH-RD-AB-Tender/17-1566-1610,No,SH Enhancement of Sewerage Treatment Capacity of existing STP from 1.015mld to 1.745 mld and improvement of the resulting paramerers of the existing,lumpSum,No,9800000,IPH Division Rohru,No,No,2017-06-28T11:30:00Z,2017-06-28T10:00:00Z,2017-05-30T16:00:00Z,180,364,HPIPH_2000,Executive Engineer,2017-06-28T10:00:00Z,2017-05-30T16:00:00Z,,,3.3,SDGTarget,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases",
